     mag        RA       DEC         x         y         z        vx        vy        vz 
   21.62    201.13     -7.14     -84.0     -28.9     -11.3       1.7     -21.1       1.3 
   23.49    207.16      -3.4     -74.8     -38.8      -5.6       1.1     -20.4       1.3 
   23.19    199.21     -2.77     -87.4     -29.7      -4.4       8.1     -18.9       0.1 
   22.76    197.99      1.38     -88.8     -27.4       2.3       4.9     -17.8       0.3 
   23.37    206.03      -4.6     -89.6     -40.4      -7.3       2.5     -18.0      -0.5 
   23.39    205.19     -2.35     -80.1     -39.5      -3.4       2.3     -18.6       2.9 
   23.04    206.34     -2.61     -81.3     -42.8      -4.2       0.9     -18.2       0.6 
   23.23     201.0      -5.3     -86.6     -28.6      -8.1       2.4     -19.3       1.1 
   23.31    202.04     -9.32     -82.8     -35.7     -13.5       7.5     -18.9       0.5 
   23.41    205.99      -6.6     -75.5     -38.0     -10.2       5.6     -17.6      -1.2 
   23.33    205.61     -2.59     -87.3     -38.2      -4.2       5.0     -19.1       1.5 
   23.49    204.41     -1.22     -87.0     -35.1      -1.9       6.6     -16.0       1.3 
   23.04    203.47     -7.36     -73.7     -34.5     -10.5       3.2     -18.9      -1.4 
   23.48    200.62       1.2     -90.3     -34.0       1.9       0.1     -21.1      -1.2 
   22.79    202.17     -3.17     -78.6     -33.1      -5.1       5.7     -20.1      -2.7 
   23.42    203.12     -3.89     -78.7     -34.2      -6.0       6.3     -16.7      -0.8 
   23.31    210.27     -0.92     -77.2     -46.9      -1.6       4.6     -17.1      -0.3 
   23.46    200.21     -5.01     -89.6     -31.6      -8.2      -0.1     -16.8      -1.0 
   23.31    215.78     -3.28     -68.7     -50.3      -4.8       5.3     -17.0      -2.2 
   22.42    198.61     -3.44     -82.9     -29.3      -5.5       3.8     -18.4       1.1 
    23.2    205.47     -2.22     -84.1     -36.4      -3.4       1.1     -22.6       0.4 
   23.09    200.54      1.85     -82.5     -32.2       2.9       0.5     -20.7       2.3 
   23.47    197.33     -1.26     -82.5     -29.9      -1.9       8.3     -19.4      -1.9 
   23.25    201.31     -1.31     -88.7     -34.3      -1.8       1.8     -18.5      -0.2 
   23.17    199.28      0.68     -96.2     -33.4       1.1       3.1     -22.4      -4.1 
   23.05    207.79     -1.83     -76.2     -39.9      -3.0       5.7     -24.5      -1.1 
   23.35     203.1     -0.38     -75.3     -33.6      -0.5       1.8     -21.1       1.5 
   23.18    205.52     -3.32     -75.9     -40.8      -5.0       5.4     -16.8      -2.1 
   20.29    203.19     -3.41     -87.4     -34.0      -5.0       2.3     -18.4       0.2 
   23.36    204.04     -4.68     -83.4     -39.3      -7.7       2.6     -18.3      -2.8 
   20.51    202.76     -4.59     -89.7     -33.3      -7.1       6.0     -16.2       0.5 
   20.05     198.8     -2.56     -85.8     -27.3      -4.1       8.3     -17.9       1.8 
   23.37    205.72     -9.06     -80.1     -38.1     -14.5       8.9     -20.1       2.0 
   23.43    210.03     -0.68     -78.6     -42.5      -1.0       3.0     -18.9       0.6 
   23.32    201.99     -4.12     -86.6     -32.0      -6.3       5.7     -17.9       0.6 
   19.53    206.92     -2.27     -76.5     -42.0      -3.7       6.5     -17.5       1.1 
    23.4    203.06     -1.79     -82.3     -33.9      -2.9       6.5     -19.3      -1.2 
   23.19    201.95     -9.75     -78.3     -30.2     -14.6       2.3     -18.9      -2.5 
   23.19    201.69     -3.06     -79.4     -32.4      -5.0       3.2     -20.0       1.0 
   23.45    196.06      3.64     -83.1     -23.0       5.3       1.7     -18.3      -1.0 
   23.16    200.36     -3.57     -83.7     -33.5      -5.5       0.9     -19.4      -1.7 
    22.6    201.74     -9.76     -75.9     -32.5     -15.7       2.1     -16.8       2.1 
   23.36    196.65     -2.02     -89.1     -26.7      -3.1       5.1     -18.4       3.7 
   23.04     201.3     -1.53     -82.1     -31.2      -2.4       3.3     -22.0       0.5 
   23.03    200.16     -7.56     -83.5     -32.6     -12.1       6.0     -18.9      -2.2 
   23.36    207.17     -2.81     -76.8     -42.8      -4.6       2.3     -18.9       0.5 
   23.39    198.65     -1.82     -83.0     -29.8      -2.9       5.2     -18.4       0.2 
   23.46     200.7      1.44     -78.4     -30.8       2.4       0.6     -19.0       0.2 
   23.02    200.05     -9.68     -81.9     -32.2     -14.2       6.6     -18.0      -0.1 
   23.15    199.19     -6.89     -86.5     -32.7      -9.8       6.5     -16.0       2.0 
   20.22    204.17     -3.04     -73.7     -36.8      -4.8       4.6     -19.4      -0.2 
   23.28    202.92     -2.22     -85.2     -33.0      -3.3       3.7     -18.4      -3.5 
